id,name_en,name_ar,category,uses,side_effects
1,"Panadol Extra Tablets","بنادول أقراص إكسترا",Painkillers,"تُستخدم بنادول أقراص إكسترا كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
2,"Panadol Advance 500mg Tablets","بنادول أقراص أدفانس 500 مجم",Painkillers,"تُستخدم بنادول أقراص أدفانس 500 مجم كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
3,"Panadol 1000mg Tablets","بنادول أقراص 1000 مجم",Painkillers,"تُستخدم بنادول أقراص 1000 مجم كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
4,"Panadol Night Tablets","بنادول نايت أقراص",Painkillers,"تُستخدم بنادول نايت أقراص كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
5,"Panadol Cold and Flu","بنادول كولد آند فلو",Painkillers,"تُستخدم بنادول كولد آند فلو كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
6,"Panadol Syrup","بنادول شراب",Painkillers,"تُستخدم بنادول شراب كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
7,"Panadol Suppositories","بنادول لبوس",Painkillers,"تُستخدم بنادول لبوس كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
8,"Panadol Ampoules","بنادول أمبولات",Painkillers,"تُستخدم بنادول أمبولات كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
9,"Panadol SR Capsules","بنادول أقراص ممتدة",Painkillers,"تُستخدم بنادول أقراص ممتدة كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
10,"Cetal Tablets","سيتال أقراص",Painkillers,"تُستخدم سيتال أقراص كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
